ID = 1	35.07	-2.5
ID = 1	-0.997428	0.0716715
ID = 3	35.72	-1.55
ID = 3	-0.999009	0.0444968
ID = 5	24.4	-2.34
ID = 5	-0.995185	0.0980095
ID = 7	27.03	-1.72
ID = 7	-0.997892	0.0649017
ID = 9	29.03	-1.3
ID = 9	-0.999014	0.044393
ID = 11	25.33	-2
ID = 11	-0.997154	0.0753869
ID = 13	29.97	-2.73
ID = 13	-0.995756	0.0920335
ID = 15	30.33	-2.2
ID = 15	-0.997065	0.0765633
ID = 17	24.67	-0.27
ID = 17	-0.999955	0.00952531
ID = 19	30.45	-1.71
ID = 19	-0.99844	0.0558405
ID = 21	33.01	-2.46
ID = 21	-0.997493	0.0707703
ID = 23	35.9	-2.75
ID = 23	-0.996979	0.0776755
ID = 0	12.22	-1.33
ID = 0	0.99877	0.049579
ID = 2	3.53	-1.22
ID = 2	0.999425	0.0338988
ID = 4	3.98	-1.18
ID = 4	0.999477	0.0323262
ID = 6	12.14	-0.36
ID = 6	0.999963	0.00865007
ID = 8	1.15	-2.05
ID = 8	0.998425	0.056102
ID = 10	4.95	-1.94
ID = 10	0.998546	0.0539016
ID = 12	0.88	-2.76
ID = 12	0.9977	0.0677885
ID = 14	10.66	-2.83
ID = 14	0.995361	0.0962114
ID = 16	1.01	-0.02
ID = 16	1	0.00084637
ID = 18	7.58	-0.22
ID = 18	0.999987	0.00512023
ID = 20	6.09	-1.68
ID = 20	0.998753	0.0499229
ID = 22	0.98	-1.57
ID = 22	0.999254	0.038618
ID = 1	35.0686	-2.50002
ID = 1	-0.997428	0.071675
ID = 3	35.7195	-1.54955
ID = 3	-0.99901	0.0444847
ID = 5	24.3989	-2.34019
ID = 5	-0.995184	0.0980215
ID = 7	27.0294	-1.71997
ID = 7	-0.997892	0.064902
ID = 9	29.029	-1.29965
ID = 9	-0.999015	0.0443824
ID = 11	25.3294	-1.99999
ID = 11	-0.997154	0.075388
ID = 13	29.9689	-2.73098
ID = 13	-0.995753	0.0920694
ID = 15	30.3295	-2.20049
ID = 15	-0.997063	0.0765804
ID = 17	24.6694	-0.269826
ID = 17	-0.999955	0.00951848
ID = 19	30.4498	-1.70909
ID = 19	-0.998441	0.0558112
ID = 21	33.0093	-2.45994
ID = 21	-0.997493	0.0707699
ID = 23	35.8997	-2.75016
ID = 23	-0.996978	0.0776807
ID = 0	12.2206	-1.33029
ID = 0	0.99877	0.0495905
ID = 2	3.53032	-1.21996
ID = 2	0.999425	0.033898
ID = 4	3.98195	-1.17977
ID = 4	0.999478	0.0323215
ID = 6	12.1405	-0.359627
ID = 6	0.999963	0.00863685
ID = 8	1.15136	-2.05029
ID = 8	0.998425	0.0561114
ID = 10	4.95092	-1.9403
ID = 10	0.998546	0.0539115
ID = 12	0.880817	-2.76052
ID = 12	0.997699	0.067803
ID = 14	10.6605	-2.82992
ID = 14	0.995361	0.0962105
ID = 16	1.01088	-0.0197717
ID = 16	1	0.000840534
ID = 18	7.58061	-0.219924
ID = 18	0.999987	0.00511799
ID = 20	6.09106	-1.67991
ID = 20	0.998753	0.0499219
ID = 22	0.980704	-1.56923
ID = 22	0.999255	0.0385991
ID = 1	35.0659	-2.50007
ID = 1	-0.997428	0.0716818
ID = 3	35.7186	-1.54868
ID = 3	-0.999011	0.0444618
ID = 5	24.3967	-2.34055
ID = 5	-0.995182	0.0980445
